Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Left_Eye_Position_X,Left_Eye_Position_Y,Left_Eye_Position_Z,Left_Eye_Rotation_W,Left_Eye_Rotation_X,Left_Eye_Rotation_Y,Left_Eye_Rotation_Z,Left_Eye_Gaze_Position_X,Left_Eye_Gaze_Position_Y,Left_Eye_Gaze_Position_Z,Left_Eye_Gaze_Rotation_W,Left_Eye_Gaze_Rotation_X,Left_Eye_Gaze_Rotation_Y,Left_Eye_Gaze_Rotation_Z,Left_Eye_Gaze_Direction_X,Left_Eye_Gaze_Direction_Y,Left_Eye_Gaze_Direction_Z,Left_Eye_Velocity_X,Left_Eye_Velocity_Y,Left_Eye_Velocity_Z,Left_Eye_AngularVelocity_X,Left_Eye_AngularVelocity_Y,Left_Eye_AngularVelocity_Z,Left_Eye_Acceleration_X,Left_Eye_Acceleration_Y,Left_Eye_Acceleration_Z,Left_Eye_AngularAcceleration_X,Left_Eye_AngularAcceleration_Y,Left_Eye_AngularAcceleration_Z,Left_Eye_OpenAmount,Left_Pupil_Diameter,Left_Pupil_Position_X,Left_Pupil_Position_Y,Left_Eye_Openness,Left_Eye_Squeeze,Left_Eye_Wide,Left_Eye_Blink,Left_Eye_Down,Left_Eye_Out,Left_Eye_In,Left_Eye_Up,Right_Eye_Position_X,Right_Eye_Position_Y,Right_Eye_Position_Z,Right_Eye_Rotation_W,Right_Eye_Rotation_X,Right_Eye_Rotation_Y,Right_Eye_Rotation_Z,Right_Eye_Gaze_Position_X,Right_Eye_Gaze_Position_Y,Right_Eye_Gaze_Position_Z,Right_Eye_Gaze_Rotation_W,Right_Eye_Gaze_Rotation_X,Right_Eye_Gaze_Rotation_Y,Right_Eye_Gaze_Rotation_Z,Right_Eye_Gaze_Direction_X,Right_Eye_Gaze_Direction_Y,Right_Eye_Gaze_Direction_Z,Right_Eye_Velocity_X,Right_Eye_Velocity_Y,Right_Eye_Velocity_Z,Right_Eye_AngularVelocity_X,Right_Eye_AngularVelocity_Y,Right_Eye_AngularVelocity_Z,Right_Eye_Acceleration_X,Right_Eye_Acceleration_Y,Right_Eye_Acceleration_Z,Right_Eye_AngularAcceleration_X,Right_Eye_AngularAcceleration_Y,Right_Eye_AngularAcceleration_Z,Right_Eye_OpenAmount,Right_Pupil_Diameter,Right_Pupil_Position_X,Right_Pupil_Position_Y,Right_Eye_Openness,Right_Eye_Squeeze,Right_Eye_Wide,Right_Eye_Blink,Right_Eye_Down,Right_Eye_Out,Right_Eye_In,Right_Eye_Up,IPD_inMeters,Center_Eye_Position_X,Center_Eye_Position_Y,Center_Eye_Position_Z,Center_Eye_Rotation_W,Center_Eye_Rotation_X,Center_Eye_Rotation_Y,Center_Eye_Rotation_Z,Center_Eye_Velocity_X,Center_Eye_Velocity_Y,Center_Eye_Velocity_Z,Center_Eye_AngularVelocity_X,Center_Eye_AngularVelocity_Y,Center_Eye_AngularVelocity_Z,Center_Eye_Acceleration_X,Center_Eye_Acceleration_Y,Center_Eye_Acceleration_Z,Center_Eye_AngularAcceleration_X,Center_Eye_AngularAcceleration_Y,Center_Eye_AngularAcceleration_Z,Gaze_Position_X,Gaze_Position_Y,Gaze_Position_Z,Gaze_Rotation_W,Gaze_Rotation_X,Gaze_Rotation_Y,Gaze_Rotation_Z,Gaze_Direction_X,Gaze_Direction_Y,Gaze_Direction_Z,Gaze_Velocity_X,Gaze_Velocity_Y,Gaze_Velocity_Z,Gaze_AngularVelocity_X,Gaze_AngularVelocity_Y,Gaze_AngularVelocity_Z,Gaze_Fixation_Point_Convergence_X,Gaze_Fixation_Point_Convergence_Y,Gaze_Fixation_Point_Convergence_Z,Convergence_Distance,Convergence_Angle_Degrees,Convergence_Angle_Radians
1039.851,2025-10-08T00:21:44.3079230Z,638954797043079340,STEVEN100725C,Rod and Frame Postest,-0.03542,1.05574,0.04586,0.99877,-0.04637,-0.01609,-0.00649,-0.03533,1.05984,0.06851,-0.99835,0.05672,0.00604,0.00694,-0.01127,0.11334,0.99349,-0.00002,0.00016,-0.00012,-0.00337,-0.00364,-0.00537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.10493,0.50815,0.47926,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03313,1.05495,0.04811,0.99877,-0.04637,-0.01609,-0.00649,0.03218,1.05724,0.07390,-0.99808,0.05735,0.02267,0.00636,-0.04452,0.11476,0.99240,-0.00002,0.00016,-0.00012,-0.00337,-0.00364,-0.00537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01003,0.49018,0.52118,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00114,1.05534,0.04699,0.99878,-0.04632,-0.01603,-0.00638,-0.00002,0.00016,-0.00012,-0.00337,-0.00364,-0.00537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00157,1.05854,0.07120,0.99822,-0.05750,-0.01435,-0.00662, -0.02788,0.11498,0.99298,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.90793,0.03330
1039.870,2025-10-08T00:21:44.3273040Z,638954797043273170,STEVEN100725C,Rod and Frame Postest,-0.03541,1.05575,0.04586,0.99877,-0.04645,-0.01608,-0.00662,-0.03532,1.05985,0.06850,-0.99839,0.05596,0.00561,0.00702,-0.01041,0.11182,0.99367,0.00029,0.00023,-0.00016,-0.00503,0.00144,-0.00699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.08175,0.50822,0.47916,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03314,1.05495,0.04810,0.99877,-0.04645,-0.01608,-0.00662,0.03219,1.05724,0.07390,-0.99812,0.05677,0.02238,0.00642,-0.04395,0.11361,0.99255,0.00029,0.00023,-0.00016,-0.00503,0.00144,-0.00699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01442,0.48988,0.52122,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00114,1.05534,0.04699,0.99878,-0.04635,-0.01605,-0.00648,0.00029,0.00023,-0.00016,-0.00503,0.00144,-0.00699,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00157,1.05854,0.07120,0.99827,-0.05674,-0.01392,-0.00672, -0.02703,0.11347,0.99317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92559,0.03361
1039.890,2025-10-08T00:21:44.3470400Z,638954797043470570,STEVEN100725C,Rod and Frame Postest,-0.03540,1.05576,0.04586,0.99877,-0.04649,-0.01602,-0.00663,-0.03531,1.05986,0.06850,-0.99842,0.05547,0.00525,0.00710,-0.00970,0.11083,0.99379,0.00006,0.00025,-0.00019,-0.00542,-0.00017,-0.00206,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.07829,0.50798,0.47908,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03315,1.05495,0.04810,0.99877,-0.04649,-0.01602,-0.00663,0.03219,1.05724,0.07389,-0.99815,0.05628,0.02203,0.00649,-0.04324,0.11264,0.99270,0.00006,0.00025,-0.00019,-0.00542,-0.00017,-0.00206,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.02210,0.49001,0.52131,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00113,1.05535,0.04699,0.99877,-0.04639,-0.01604,-0.00655,0.00006,0.00025,-0.00019,-0.00542,-0.00017,-0.00206,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00156,1.05855,0.07120,0.99830,-0.05624,-0.01357,-0.00679, -0.02632,0.11248,0.99331,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92549,0.03361
1039.902,2025-10-08T00:21:44.3593720Z,638954797043593830,STEVEN100725C,Rod and Frame Postest,-0.03540,1.05576,0.04585,0.99876,-0.04658,-0.01602,-0.00658,-0.03531,1.05986,0.06850,-0.99845,0.05504,0.00482,0.00714,-0.00884,0.10998,0.99389,-0.00002,0.00035,-0.00026,-0.00739,-0.00011,0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.08496,0.50806,0.47920,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03314,1.05496,0.04809,0.99876,-0.04658,-0.01602,-0.00658,0.03220,1.05725,0.07389,-0.99818,0.05586,0.02159,0.00652,-0.04238,0.11179,0.99283,-0.00002,0.00035,-0.00026,-0.00739,-0.00011,0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01906,0.49004,0.52130,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00113,1.05535,0.04698,0.99877,-0.04643,-0.01604,-0.00657,-0.00002,0.00035,-0.00026,-0.00739,-0.00011,0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00156,1.05855,0.07119,0.99833,-0.05582,-0.01313,-0.00683, -0.02546,0.11163,0.99342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92549,0.03361
1039.924,2025-10-08T00:21:44.3816620Z,638954797043816650,STEVEN100725C,Rod and Frame Postest,-0.03541,1.05577,0.04584,0.99876,-0.04664,-0.01615,-0.00665,-0.03531,1.05988,0.06849,-0.99847,0.05465,0.00442,0.00720,-0.00805,0.10919,0.99399,-0.00010,0.00028,-0.00021,-0.00588,-0.00402,-0.00316,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.07348,0.50808,0.47921,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03313,1.05497,0.04810,0.99876,-0.04664,-0.01615,-0.00665,0.03219,1.05725,0.07389,-0.99821,0.05546,0.02120,0.00657,-0.04159,0.11100,0.99295,-0.00010,0.00028,-0.00021,-0.00588,-0.00402,-0.00316,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01650,0.49015,0.52134,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00113,1.05535,0.04698,0.99877,-0.04650,-0.01607,-0.00661,-0.00010,0.00028,-0.00021,-0.00588,-0.00402,-0.00316,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00156,1.05856,0.07119,0.99836,-0.05542,-0.01273,-0.00688, -0.02465,0.11083,0.99353,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92559,0.03361
1039.938,2025-10-08T00:21:44.3948620Z,638954797043948690,STEVEN100725C,Rod and Frame Postest,-0.03541,1.05578,0.04584,0.99876,-0.04665,-0.01618,-0.00675,-0.03532,1.05988,0.06848,-0.99849,0.05429,0.00398,0.00725,-0.00715,0.10847,0.99407,-0.00001,0.00022,-0.00016,-0.00469,-0.00269,-0.00402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.07074,0.50785,0.47934,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03314,1.05496,0.04810,0.99876,-0.04665,-0.01618,-0.00675,0.03219,1.05726,0.07389,-0.99824,0.05510,0.02075,0.00662,-0.04069,0.11029,0.99307,-0.00001,0.00022,-0.00016,-0.00469,-0.00269,-0.00402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01682,0.49004,0.52135,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00113,1.05536,0.04698,0.99876,-0.04654,-0.01609,-0.00665,-0.00001,0.00022,-0.00016,-0.00469,-0.00269,-0.00402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00156,1.05857,0.07119,0.99838,-0.05506,-0.01228,-0.00693, -0.02376,0.11011,0.99364,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92559,0.03361
1039.957,2025-10-08T00:21:44.4140360Z,638954797044140380,STEVEN100725C,Rod and Frame Postest,-0.03542,1.05577,0.04584,0.99876,-0.04665,-0.01622,-0.00669,-0.03532,1.05989,0.06848,-0.99851,0.05397,0.00362,0.00729,-0.00644,0.10784,0.99415,-0.00029,0.00006,-0.00005,-0.00111,-0.00624,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.07390,0.50782,0.47931,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03313,1.05496,0.04810,0.99876,-0.04665,-0.01622,-0.00669,0.03219,1.05726,0.07389,-0.99827,0.05479,0.02039,0.00665,-0.03998,0.10966,0.99316,-0.00029,0.00006,-0.00005,-0.00111,-0.00624,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01494,0.49003,0.52135,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00114,1.05536,0.04697,0.99876,-0.04657,-0.01614,-0.00668,-0.00029,0.00006,-0.00005,-0.00111,-0.00624,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00157,1.05857,0.07118,0.99840,-0.05476,-0.01192,-0.00697, -0.02304,0.10951,0.99372,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92549,0.03361
1039.980,2025-10-08T00:21:44.4370330Z,638954797044370480,STEVEN100725C,Rod and Frame Postest,-0.03542,1.05576,0.04584,0.99876,-0.04651,-0.01628,-0.00671,-0.03533,1.05989,0.06848,-0.99854,0.05351,0.00326,0.00731,-0.00574,0.10690,0.99425,-0.00030,-0.00007,0.00004,0.00147,-0.00487,0.00181,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.06776,0.50795,0.47937,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03312,1.05495,0.04811,0.99876,-0.04651,-0.01628,-0.00671,0.03218,1.05725,0.07389,-0.99830,0.05432,0.02004,0.00666,-0.03928,0.10873,0.99330,-0.00030,-0.00007,0.00004,0.00147,-0.00487,0.00181,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01003,0.48998,0.52140,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00114,1.05536,0.04697,0.99876,-0.04656,-0.01619,-0.00669,-0.00030,-0.00007,0.00004,0.00147,-0.00487,0.00181,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00157,1.05857,0.07118,0.99843,-0.05430,-0.01156,-0.00700, -0.02233,0.10859,0.99384,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92549,0.03361
1039.991,2025-10-08T00:21:44.4485720Z,638954797044485840,STEVEN100725C,Rod and Frame Postest,-0.03543,1.05576,0.04584,0.99876,-0.04648,-0.01631,-0.00663,-0.03533,1.05988,0.06848,-0.99855,0.05327,0.00303,0.00732,-0.00527,0.10643,0.99431,-0.00021,-0.00014,0.00010,0.00296,-0.00327,0.00131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.07222,0.50785,0.47914,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03312,1.05495,0.04811,0.99876,-0.04648,-0.01631,-0.00663,0.03218,1.05725,0.07390,-0.99832,0.05408,0.01981,0.00666,-0.03883,0.10825,0.99337,-0.00021,-0.00014,0.00010,0.00296,-0.00327,0.00131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01314,0.49001,0.52131,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00114,1.05536,0.04697,0.99876,-0.04654,-0.01622,-0.00669,-0.00021,-0.00014,0.00010,0.00296,-0.00327,0.00131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00158,1.05857,0.07119,0.99844,-0.05426,-0.01156,-0.00699, -0.02232,0.10851,0.99385,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92641,0.03362
1040.013,2025-10-08T00:21:44.4708040Z,638954797044708100,STEVEN100725C,Rod and Frame Postest,-0.03543,1.05575,0.04585,0.99877,-0.04640,-0.01630,-0.00665,-0.03534,1.05988,0.06848,-0.99857,0.05281,0.00259,0.00732,-0.00440,0.10551,0.99441,-0.00010,-0.00026,0.00019,0.00563,-0.00141,0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.07308,0.50788,0.47932,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03312,1.05494,0.04812,0.99877,-0.04640,-0.01630,-0.00665,0.03217,1.05725,0.07390,-0.99835,0.05363,0.01936,0.00666,-0.03794,0.10734,0.99350,-0.00010,-0.00026,0.00019,0.00563,-0.00141,0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.01120,0.49004,0.52142,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.069,-0.00115,1.05536,0.04698,0.99876,-0.04650,-0.01625,-0.00667,-0.00010,-0.00026,0.00019,0.00563,-0.00141,0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00158,1.05856,0.07119,0.99848,-0.05360,-0.01090,-0.00700, -0.02102,0.10719,0.99402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31374,1.92549,0.03361
